FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE7_00018,nan,nan,nan,nan,nan,A,0.93,0.15,100,1.62,0.61,nan,nan,A,314.9,18.5,A,425.5,14.8,450.3
SE7_00019,nan,nan,nan,nan,nan,A,0.92,0.17,100,1.77,0.57,nan,nan,A,314,18.6,A,425.6,14.8,450.3
SE7_00020,nan,nan,nan,nan,nan,A,0.97,0.18,100,1.73,0.61,nan,nan,A,317.1,19.5,A,425.5,15.4,450.3
SE7_00021,nan,nan,nan,nan,nan,A,1.01,0.22,100,1.76,0.6,nan,nan,A,319.4,19.4,A,425.5,15.7,450.3
SE7_00022,nan,nan,nan,nan,nan,A,1,0.18,100,1.74,0.64,nan,nan,A,316.4,19.1,A,425.6,15.2,450.3
SE7_00023,nan,nan,nan,nan,nan,A,0.99,0.2,100,1.82,0.65,nan,nan,A,315.6,18.8,A,425.5,15.2,450.3
SE7_00024,nan,nan,nan,nan,nan,A,0.96,0.17,100,1.76,0.64,nan,nan,A,320.4,19.5,A,425.5,15.7,450.3
SE7_00025,nan,nan,nan,nan,nan,A,0.98,0.17,100,1.63,0.65,nan,nan,A,321.2,19.8,A,425.5,15.7,450.3
SE7_00026,nan,nan,nan,nan,nan,A,0.96,0.17,100,1.74,0.63,nan,nan,A,319.8,20,A,425.5,15.7,450.3
SE7_00027,nan,nan,nan,nan,nan,A,1.06,0.22,100,1.86,0.65,nan,nan,A,320.1,19.7,A,425.6,15.7,450.4
SE7_00028,nan,nan,nan,nan,nan,A,1.03,0.21,100,1.91,0.59,nan,nan,A,322.2,21.3,A,425.2,17.7,450.3
SE7_00029,nan,nan,nan,nan,nan,A,1.02,0.2,100,1.91,0.66,nan,nan,A,323,20.1,A,425.5,16,450.3
SE7_00030,nan,nan,nan,nan,nan,A,0.98,0.17,100,1.91,0.64,nan,nan,A,323.3,20.1,A,425.4,16,450.3
SE7_00031,nan,nan,nan,nan,nan,A,0.97,0.18,100,1.83,0.6,nan,nan,A,317.1,19.4,A,425.5,15.3,450.3
SE7_00032,nan,nan,nan,nan,nan,A,0.97,0.15,100,1.78,0.61,nan,nan,A,319.8,19.5,A,425.5,15.6,450.3
SE7_00033,nan,nan,nan,nan,nan,A,1.2,0.18,100,1.97,0.86,nan,nan,A,319.6,18.9,A,425.6,15.6,450.4
SE7_00034,nan,nan,nan,nan,nan,A,1.31,0.2,100,2.01,0.91,nan,nan,A,327.6,20.5,A,425.4,16.8,450.3
SE7_00035,nan,nan,nan,nan,nan,A,1.16,0.17,100,1.85,0.73,nan,nan,A,328.8,20.8,A,425.4,17.2,450.4
